parameter_name,Fusion of vertebrae
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:1914836
analysis_id,ikz8165ja6y4xm0
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1051886
gene_symbol,Ubxn11
