gene_symbol,Mms22l
mouse_strain,129SV
parameter_name,B1B Cells
gene_accession_id,MGI:2684980
parameter_id,IMPC_IMM_064_001
pvalue,0.05379083
mouse_life_stage,Early adult
analysis_id,ry9np66ud7z84b1
