parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
gene_symbol,Sla2
parameter_name,Fractional Shortening
pvalue,0.6127125
analysis_id,dbdc04gij326t0c
gene_accession_id,MGI:1925049
mouse_strain,C57BL
