analysis_id,6x8rd0g97a52ox2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
parameter_id,HMGULA_CBC_015_001
parameter_name,Total cholesterol
gene_accession_id,MGI:2441730
pvalue,0.6815712
