analysis_id,03z7291wvm1w221
mouse_life_stage,Early adult
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
parameter_id,IMPC_CSD_079_001
parameter_name,Aggression
mouse_strain,C57BL
pvalue,0.201896
