parameter_id,IMPC_CBC_014_001
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:106100
analysis_id,ua44kvh6w0fch6w
gene_symbol,Etfdh
mouse_life_stage,Early adult
pvalue,0.09218614
