parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
mouse_strain,C57BL
analysis_id,kzjl2hz57831o13
mouse_life_stage,E9.5
pvalue,0.6073141
