parameter_name,Periphery resting time
parameter_id,ESLIM_007_001_007
pvalue,0.2062501
analysis_id,36p81x560odr2z2
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
