gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,Total cholesterol
analysis_id,4ri9f3026nd76r9
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.5232162
parameter_id,IMPC_CBC_015_001
