analysis_id,35f1uot486x48yl
parameter_name,Total CD4+ T cells - % of ab T cells
gene_accession_id,MGI:1923029
parameter_id,MGP_IMM_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnaaf9
pvalue,0.6679548
