analysis_id,y0u18scr9w92r8h
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1929866
pvalue,0.543234
mouse_life_stage,Early adult
parameter_name,Placenta Morphology
gene_symbol,Rgs20
