gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
analysis_id,qt8dvzve579444h
parameter_name,Transitional 1 B cells - % of CD45+
pvalue,0.1214488
mouse_strain,C57BL
parameter_id,MGP_IMM_110_001
mouse_life_stage,E12.5
