gene_symbol,Fgb
parameter_name,HDL-cholesterol
analysis_id,ii2wsz1zkax5b8b
parameter_id,HMGULA_CBC_016_001
mouse_strain,C57BL
pvalue,0.476615
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
