gene_symbol,Bdh2
analysis_id,l8kgg91s6m9a841
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
mouse_life_stage,Early adult
pvalue,0.4572214
gene_accession_id,MGI:1917022
