parameter_id,IMPC_OFD_010_001
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_name,Periphery distance travelled
mouse_life_stage,Middle aged adult
analysis_id,1h57d9lpy9uoi6g
pvalue,0.8186434
