analysis_id,vrku9i3y3b0c38a
pvalue,0.7906851
mouse_strain,C57BL
gene_accession_id,MGI:1922745
gene_symbol,Morn5
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
