gene_symbol,Lime1
analysis_id,p6tga7384bu0j15
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_IMM_078_001
gene_accession_id,MGI:1919949
pvalue,0.5213426
mouse_strain,C57BL
mouse_life_stage,Early adult
