parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:1914071
pvalue,0.7160786
gene_symbol,Bcs1l
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
analysis_id,ck59k55npwi2162
mouse_life_stage,Early adult
