analysis_id,ypn8ya7l3674ppk
pvalue,1.310257
gene_symbol,Amigo1
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
parameter_name,Chloride
gene_accession_id,MGI:2653612
mouse_strain,C57BL
