analysis_id,xb56x5o8io1uffz
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
mouse_strain,C57BL
parameter_name,Total T cell percentage
pvalue,0.8376487
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
