mouse_life_stage,E15.5
analysis_id,26s7414dm08f078
pvalue,0.4722613
gene_symbol,Fgb
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
gene_accession_id,MGI:99501
mouse_strain,C57BL
