analysis_id,s93o4l1z802ed53
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Slc30a4
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1345282
pvalue,0.5716344
parameter_id,MGP_MLN_001_001
