parameter_name,Periphery distance travelled
mouse_strain,C57BL
pvalue,0.4235657
analysis_id,ys3ii736rrc379f
gene_symbol,HRNR
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_010_001
gene_accession_id,MGI:3046938
