gene_symbol,Ssr2
gene_accession_id,MGI:1913506
analysis_id,f66443akjvr2fdi
mouse_strain,C57BL
pvalue,0.9100222
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_033_001
