analysis_id,01q31dczkl08yrr
gene_symbol,Kifap3
parameter_name,PQ
pvalue,0.2209392
gene_accession_id,MGI:107566
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
