analysis_id,fgmzce6eg0028h0
mouse_strain,C57BL
pvalue,0.9374998
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
parameter_name,Percentage center time
