analysis_id,czkc5dpzw8qg9pr
parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
mouse_life_stage,Late adult
gene_symbol,AU040320
pvalue,0.1374864
gene_accession_id,MGI:2140475
mouse_strain,C57BL
