analysis_id,nygu567vt80794i
parameter_name,Percentage center time
pvalue,0.1454722
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
mouse_strain,C57BL
gene_symbol,Bach2
parameter_id,JAX_OFD_022_001
