analysis_id,igb9438b6kql8vz
mouse_life_stage,Early adult
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
gene_accession_id,MGI:1346344
mouse_strain,B6J
pvalue,0.1143544
gene_symbol,Nr0b2
