analysis_id,ep5e9nz6631v2h3
pvalue,0.2575144
parameter_name,Stroke Volume
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_id,IMPC_ECH_003_001
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
