gene_symbol,Ufc1
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
pvalue,0.1839408
analysis_id,tyn7rcz0w1294d5
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
mouse_strain,C57BL
