parameter_name,110dB startle magnitude
pvalue,0.1002381
gene_symbol,Hrnr
mouse_strain,C57BL
analysis_id,0ug2h10c684h076
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_id,ESLIM_011_001_006
