analysis_id,4fk36w6956cb11y
pvalue,0.1317006
mouse_strain,C54BL
gene_symbol,Gja10
gene_accession_id,MGI:1339969
parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
mouse_life_stage,Early adult
