gene_accession_id,MGI:1913284
gene_symbol,Psmd14
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
pvalue,0.9665477
parameter_name,Time mobile light side
analysis_id,kh3b79v0osmrj39
