parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1340555
gene_symbol,Cisd2
analysis_id,u079g75091n8407
gene_accession_id,MGI:1914256
parameter_id,M-G-P_016_001_006
