analysis_id,425psc8t92s0q41
parameter_id,JAX_LDT_008_001
gene_symbol,Cntfr
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
mouse_strain,129SV
parameter_name,Percent time in dark
pvalue,0.202577
