parameter_name,CV
mouse_strain,C57BL
gene_symbol,Rhbg
mouse_life_stage,Early adult
analysis_id,5ftj1e7v5oao624
pvalue,0.6502312
gene_accession_id,MGI:1927379
parameter_id,IMPC_ECG_003_001
