gene_symbol,Kdm5b
parameter_id,MGP_IMM_101_001
pvalue,0.3045675
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
analysis_id,0i12d9u369w6448
mouse_strain,C57BL
