gene_symbol,Zmynd8
parameter_id,TCPLA_XRY_033_001
pvalue,0.8446242
mouse_strain,129SV
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
analysis_id,3u4n01r6r5x4krz
parameter_name,Tibia length
