parameter_name,Eosinophil number
mouse_life_stage,Early adult
pvalue,0.9500056
gene_symbol,Pglyrp3
analysis_id,s87w9287d62d73p
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
gene_accession_id,MGI:2685266
