analysis_id,y560dsr1r71ofx2
pvalue,0.8812438
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_name,Narrow eye opening
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
