mouse_strain,B6J
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
analysis_id,l998q441z549i7f
parameter_name,Percentage center time
pvalue,0.3808014
parameter_id,JAX_OFD_022_001
