parameter_name,Fat/Body weight
pvalue,0.3749989
analysis_id,06j43yppj7u4o0b
parameter_id,JAXLA_DXA_009_001
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
mouse_strain,C57BL
