analysis_id,975fs9a5j8pxja0
gene_accession_id,MGI:1924054
parameter_name,Startle Response
pvalue,0.6163803
gene_symbol,Kdm4c
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_008_001_013
