parameter_name,HDL cholesterol
pvalue,0.6274187
mouse_strain,C57BL
analysis_id,r0fph0uqf982484
mouse_life_stage,Middle aged adult
parameter_id,JAX_PLC_002_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
