analysis_id,py5m3718080t9h3
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:2446186
pvalue,0.3790282
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_name,lens opacity
mouse_life_stage,Late adult
