analysis_id,85w1pn32703y5q7
mouse_strain,C55BL
pvalue,0.3811492
parameter_id,IMPC_IMM_047_001
mouse_life_stage,E9.5
gene_symbol,Ints7
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:1924315
