analysis_id,19l4ki0o4g88h36
pvalue,0.2549302
parameter_name,Retina (combined)
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_001
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_strain,C57BL
