gene_symbol,Mov10
parameter_id,IMPC_OFD_011_001
pvalue,0.2020937
analysis_id,s294tm5dke17ou8
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery resting time
gene_accession_id,MGI:97054
