parameter_name,Magnesium
mouse_strain,129SV
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
analysis_id,si279o13sl36w1x
pvalue,0.7438757
parameter_id,M-G-P_025_001_030
gene_symbol,Cntfr
