parameter_name,Joints
analysis_id,061lphd775359c1
parameter_id,IMPC_XRY_027_001
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
pvalue,0.07465397
mouse_strain,C57BL
mouse_life_stage,Early adult
