parameter_name,Delayed embryonic development
pvalue,0.3239838
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_id,IMPC_GEL_063_001
analysis_id,61i6i3rj359p1tv
mouse_life_stage,E18.5
mouse_strain,C57BL
