analysis_id,7c86cagd958u4tr
gene_symbol,Tbl1xr1
pvalue,0.8413691
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
