gene_symbol,Kdm5b
analysis_id,038xae44fgmg65u
parameter_id,IMPC_IMM_069_001
pvalue,0.8409875
gene_accession_id,MGI:1922855
parameter_name,Transitional B Cells (CD21/35 low)
mouse_life_stage,Early adult
mouse_strain,C57BL
