gene_symbol,Kdm4c
parameter_id,IMPC_EYE_092_001
parameter_name,Retina (combined)
pvalue,0.1470028
gene_accession_id,MGI:1924054
mouse_strain,C57BL
analysis_id,72ns702j21d9ak7
mouse_life_stage,Early adult
