analysis_id,34w32s9afnrha0y
parameter_id,MGP_MLN_063_001
pvalue,0.933747
parameter_name,Total ab T cells - % of CD45+
gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
mouse_strain,C57BL
