analysis_id,13w27na81t93w0z
mouse_strain,C57BL
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
parameter_name,Heart weight
pvalue,0.5576798
gene_symbol,Hrnr
