analysis_id,54xrb8son325i4a
parameter_name,Startle Response
mouse_life_stage,Early adult
pvalue,0.2305321
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
mouse_strain,C57BL
parameter_id,M-G-P_008_001_013
