parameter_name,Haemoglobin
analysis_id,3670wk23sgl9au6
parameter_id,ESLIM_016_001_003
mouse_strain,C57BL
gene_symbol,Tnni1
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
pvalue,0.2106383
