analysis_id,3294pn9et32z796
mouse_strain,C57BL
gene_symbol,Mapkap1
pvalue,0.05274473
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
parameter_id,ESLIM_011_001_002
parameter_name,PP1 startle magnitude
