gene_symbol,Galnt13
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:2139447
analysis_id,2d993fnq8d28b53
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Retina (combined)
pvalue,0.3265421
