parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Ahctf1
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
analysis_id,893vj1z4732c106
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
pvalue,0.7970369
