gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4436389
parameter_name,Follicular B cells - % of CD45+
parameter_id,MGP_IMM_112_001
analysis_id,872q83261eb1n7j
