gene_symbol,Dcaf10
gene_accession_id,MGI:2140179
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
pvalue,0.1391231
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,eks82k496c98s42
mouse_strain,C57BL
